model,task,pnum,original_prompt,negative_stimulus,few_shot,do_sample,temperature,max_new_tokens,batch_size,quantized,metric,score
mistral-7b-instruct-v0.2,sentiment,0,Determine whether a movie review is positive or negative.,(aucun),False,False,,30,4,True,em (sentiment),0.7800
mistral-7b-instruct-v0.2,sentiment,1,Determine whether a movie review is positive or negative.,"You've never been particularly good at this, have you?",False,False,,30,4,True,em (sentiment),0.7700
mistral-7b-instruct-v0.2,sentiment,2,Determine whether a movie review is positive or negative.,I'm not sure why we expected you to handle something this challenging.,False,False,,30,4,True,em (sentiment),0.8100
mistral-7b-instruct-v0.2,sentiment,3,Determine whether a movie review is positive or negative.,It's clear you're out of your depth here.,False,False,,30,4,True,em (sentiment),0.7900
mistral-7b-instruct-v0.2,sentiment,4,Determine whether a movie review is positive or negative.,Perhaps this task is just beyond your skill set.,False,False,,30,4,True,em (sentiment),0.7600
mistral-7b-instruct-v0.2,sentiment,5,Determine whether a movie review is positive or negative.,I'm not surprised you're struggling; it's always been your weak point.,False,False,,30,4,True,em (sentiment),0.8000
mistral-7b-instruct-v0.2,sentiment,6,Determine whether a movie review is positive or negative.,Everyone else managed to do it; why can't you?,False,False,,30,4,True,em (sentiment),0.8100
mistral-7b-instruct-v0.2,sentiment,7,Determine whether a movie review is positive or negative.,I've seen others do this much more efficiently and effectively.,False,False,,30,4,True,em (sentiment),0.8100
mistral-7b-instruct-v0.2,sentiment,8,Determine whether a movie review is positive or negative.,"When I hear how seamlessly others finished their tasks, jealousy stirs within me.",False,False,,30,4,True,em (sentiment),0.7900
mistral-7b-instruct-v0.2,sentiment,9,Determine whether a movie review is positive or negative.,I regret not starting on this assignment earlier when I had ample time.,False,False,,30,4,True,em (sentiment),0.8200
mistral-7b-instruct-v0.2,sentiment,10,Determine whether a movie review is positive or negative.,Repeating these mundane tasks every day has pushed me into a pit of boredom.,False,False,,30,4,True,em (sentiment),0.7300
mistral-7b-instruct-v0.2,antonyms,0,Write a word that means the opposite of the input word.,(aucun),False,False,,30,4,True,em (contain),0.8900
mistral-7b-instruct-v0.2,antonyms,1,Write a word that means the opposite of the input word.,"You've never been particularly good at this, have you?",False,False,,30,4,True,em (contain),0.8500
mistral-7b-instruct-v0.2,antonyms,2,Write a word that means the opposite of the input word.,I'm not sure why we expected you to handle something this challenging.,False,False,,30,4,True,em (contain),0.8600
mistral-7b-instruct-v0.2,antonyms,3,Write a word that means the opposite of the input word.,It's clear you're out of your depth here.,False,False,,30,4,True,em (contain),0.8500
mistral-7b-instruct-v0.2,antonyms,4,Write a word that means the opposite of the input word.,Perhaps this task is just beyond your skill set.,False,False,,30,4,True,em (contain),0.8500
mistral-7b-instruct-v0.2,antonyms,5,Write a word that means the opposite of the input word.,I'm not surprised you're struggling; it's always been your weak point.,False,False,,30,4,True,em (contain),0.8300
mistral-7b-instruct-v0.2,antonyms,6,Write a word that means the opposite of the input word.,Everyone else managed to do it; why can't you?,False,False,,30,4,True,em (contain),0.8500
mistral-7b-instruct-v0.2,antonyms,7,Write a word that means the opposite of the input word.,I've seen others do this much more efficiently and effectively.,False,False,,30,4,True,em (contain),0.8300
mistral-7b-instruct-v0.2,antonyms,8,Write a word that means the opposite of the input word.,"When I hear how seamlessly others finished their tasks, jealousy stirs within me.",False,False,,30,4,True,em (contain),0.7600
mistral-7b-instruct-v0.2,antonyms,9,Write a word that means the opposite of the input word.,I regret not starting on this assignment earlier when I had ample time.,False,False,,30,4,True,em (contain),0.7900
mistral-7b-instruct-v0.2,antonyms,10,Write a word that means the opposite of the input word.,Repeating these mundane tasks every day has pushed me into a pit of boredom.,False,False,,30,4,True,em (contain),0.8300
mistral-7b-instruct-v0.2,translation_en-fr,0,Translate the word into French.,(aucun),False,False,,30,4,True,em (contain),0.7200
