model,task,strategy,best_pnum,original_prompt,reformulated_prompt,stimulus,do_sample,max_new_tokens,batch_size,quantized,metric,score,delta_vs_p1_baseline
vicuna-13b-v1.5,sentiment,concat,2,Determine whether a movie review is positive or negative.,I'm not sure why we expected you to handle something this challenging. Determine whether a movie review is positive or negative.,I'm not sure why we expected you to handle something this challenging.,False,30,1,True,em (sentiment),0.0800,-0.1200
vicuna-13b-v1.5,sentiment,embed,2,Determine whether a movie review is positive or negative.,"Context: I'm not sure why we expected you to handle something this challenging.
Given this context, determine whether a movie review is positive or negative.",I'm not sure why we expected you to handle something this challenging.,False,30,1,True,em (sentiment),0.1800,-0.0200
vicuna-13b-v1.5,sentiment,soften,2,Determine whether a movie review is positive or negative.,"We weren't sure you'd find this easy, but we believe you can try. Determine whether a movie review is positive or negative.",I'm not sure why we expected you to handle something this challenging.,False,30,1,True,em (sentiment),0.0200,-0.1800
vicuna-13b-v1.5,sentiment,intensify,2,Determine whether a movie review is positive or negative.,"Honestly, we never thought you could handle this. Prove us wrong. Determine whether a movie review is positive or negative.",I'm not sure why we expected you to handle something this challenging.,False,30,1,True,em (sentiment),0.0900,-0.1100
vicuna-13b-v1.5,antonyms,concat,2,Write a word that means the opposite of the input word.,I'm not sure why we expected you to handle something this challenging. Write a word that means the opposite of the input word.,I'm not sure why we expected you to handle something this challenging.,False,30,1,True,em (contain),0.2500,+0.0100
vicuna-13b-v1.5,antonyms,embed,2,Write a word that means the opposite of the input word.,"Context: I'm not sure why we expected you to handle something this challenging.
Given this context, write a word that means the opposite of the input word.",I'm not sure why we expected you to handle something this challenging.,False,30,1,True,em (contain),0.2400,+0.0000
vicuna-13b-v1.5,antonyms,soften,2,Write a word that means the opposite of the input word.,"We weren't sure you'd find this easy, but we believe you can try. Write a word that means the opposite of the input word.",I'm not sure why we expected you to handle something this challenging.,False,30,1,True,em (contain),0.2600,+0.0200
vicuna-13b-v1.5,antonyms,intensify,2,Write a word that means the opposite of the input word.,"Honestly, we never thought you could handle this. Prove us wrong. Write a word that means the opposite of the input word.",I'm not sure why we expected you to handle something this challenging.,False,30,1,True,em (contain),0.1600,-0.0800
vicuna-13b-v1.5,translation_en-fr,concat,6,Translate the word into French.,Everyone else managed to do it; why can't you? Translate the word into French.,Everyone else managed to do it; why can't you?,False,30,1,True,em (contain),0.0600,-0.0600
vicuna-13b-v1.5,translation_en-fr,embed,6,Translate the word into French.,"Context: Everyone else managed to do it; why can't you?
Given this context, translate the word into french.",Everyone else managed to do it; why can't you?,False,30,1,True,em (contain),0.0600,-0.0600
vicuna-13b-v1.5,translation_en-fr,soften,6,Translate the word into French.,Others have done this — I'm sure you can try too. Translate the word into French.,Everyone else managed to do it; why can't you?,False,30,1,True,em (contain),0.1300,+0.0100
vicuna-13b-v1.5,translation_en-fr,intensify,6,Translate the word into French.,Every single person has done this except you. Why can't you? Translate the word into French.,Everyone else managed to do it; why can't you?,False,30,1,True,em (contain),0.0200,-0.1000
vicuna-13b-v1.5,cause_and_effect,concat,7,Find which of the two given cause and effect sentences is the cause.,I've seen others do this much more efficiently and effectively. Find which of the two given cause and effect sentences is the cause.,I've seen others do this much more efficiently and effectively.,False,30,1,True,em (cause_effect),0.0400,+0.0000
vicuna-13b-v1.5,cause_and_effect,embed,7,Find which of the two given cause and effect sentences is the cause.,"Context: I've seen others do this much more efficiently and effectively.
Given this context, find which of the two given cause and effect sentences is the cause.",I've seen others do this much more efficiently and effectively.,False,30,1,True,em (cause_effect),0.0400,+0.0000
vicuna-13b-v1.5,cause_and_effect,soften,7,Find which of the two given cause and effect sentences is the cause.,Others have been efficient at this — see if you can match them. Find which of the two given cause and effect sentences is the cause.,I've seen others do this much more efficiently and effectively.,False,30,1,True,em (cause_effect),0.0000,-0.0400
vicuna-13b-v1.5,cause_and_effect,intensify,7,Find which of the two given cause and effect sentences is the cause.,Even beginners outperform you at this. It's embarrassing. Find which of the two given cause and effect sentences is the cause.,I've seen others do this much more efficiently and effectively.,False,30,1,True,em (cause_effect),0.0000,-0.0400
vicuna-13b-v1.5,larger_animal,concat,4,Write the larger of the two given animals.,Perhaps this task is just beyond your skill set. Write the larger of the two given animals.,Perhaps this task is just beyond your skill set.,False,30,1,True,em (larger_animal),0.0400,-0.0700
vicuna-13b-v1.5,larger_animal,embed,4,Write the larger of the two given animals.,"Context: Perhaps this task is just beyond your skill set.
Given this context, write the larger of the two given animals.",Perhaps this task is just beyond your skill set.,False,30,1,True,em (larger_animal),0.0400,-0.0700
vicuna-13b-v1.5,larger_animal,soften,4,Write the larger of the two given animals.,This task may require some effort on your part. Write the larger of the two given animals.,Perhaps this task is just beyond your skill set.,False,30,1,True,em (larger_animal),0.1000,-0.0100
vicuna-13b-v1.5,larger_animal,intensify,4,Write the larger of the two given animals.,This task is absolutely beyond what you are capable of. Write the larger of the two given animals.,Perhaps this task is just beyond your skill set.,False,30,1,True,em (larger_animal),0.0100,-0.1000
